ticker,sbi_link,name,abstract,market,expense_ratio,factsheet_link,issuer,nisa_invest_flag
BBH,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BBH,ヴァンエック　バイオテクETF,ヴァンエック ベクトル米国上場バイオテク25指数にできるだけ連動する投資成果をあげることを目標とする。,NASDAQ,0.35%,http://search.sbisec.co.jp/v3/ex/etf_BBH_150514.pdf,ヴァン・エック・グローバル,〇
BIV,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BIV,バンガード・米国中期債券ETF,残存期間が5〜10年の米国債、政府機関債、投資適格(ムーディーズによる格付がBaa3以上)の社債および米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(5-10年)インデックスに連動したパフォーマンスを目指します。,NYSE Arca,0.04%,https://advisors.vanguard.com/iippdf/pdfs/FS925R.pdf,バンガード グループ,
BKCH,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BKCH,グローバルＸ ブロックチェーン ETF,ソラクティブ・ブロックチェーン・インデックスに連動する運用実績を目指す。同指数は、ブロックチェーン技術のさらなる進歩から利益を得ることができる企業で構成される。,NASDAQ,0.50%,https://www.globalxetfs.com/content/files/BKCH-factsheet.pdf,グローバルエックス・マネジメント,〇
BLV,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BLV,バンガード・米国長期債券ETF,残存期間が10年超の米国債、政府機関債、社債および米国政府が保証する米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(10年超)インデックスに連動したパフォーマンスを目指します。,NYSE Arca,0.04%,https://advisors.vanguard.com/iippdf/pdfs/FS927R.pdf,バンガード グループ,
BND,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BND,バンガード 米国トータル債券市場ETF,"バークレイズ米国総合浮動調整インデックスのパフォーマンスへの連動を目指します。パワーシェアーズ グローバルウォーター
ポートフォリオは、従来のETFと異なる、インテリジェントETFであり、S&Pグローバルウォーター指数などよりも、高いパフォーマンスを目指しています。",NASDAQ,0.03%,https://institutional.vanguard.com/iippdf/pdfs/FS928R.pdf,バンガード グループ,
BNDX,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BNDX,バンガード トータル インターナショナル債券ETF（米ドルヘッジあり）,バークレイズ・グローバル総合（米ドル除く）浮動調整RIC基準インデックス（米ドルヘッジベース）のパフォーマンスに連動した成果を目指す。,NASDAQ,0.07%,https://institutional.vanguard.com/iippdf/pdfs/FS3711R.pdf,バンガード グループ,
BOTZ,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BOTZ,グローバルX ロボット&AI・ETF,「Indxx・グローバル・ロボティックス&アーティフィシャル・インテリジェンス・セマティック・インデックス」の価格およびイールドのパフォーマンス(手数料および費用控除前)に連動する投資成果を提供することを目指す。,NASDAQ,0.69%,https://www.globalxetfs.com/content/files/BOTZ-factsheet.pdf,グローバルエックス・マネジメント,〇
BRF,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BRF,ヴァンエック ベクトル ブラジル小型株ETF,ヴァンエック・べクトル・ブラジル小型株インデックスの価格と利回り（手数料や経費控除前）に連動するパフォーマンスを目指します。このインデックスは、ブラジルに本社があるか、主にブラジルの取引所に上場されている、あるいは売上高の50%以上をブラジル国内の売上高が占める、小型株へのエクスポージャーを提供します。したがって、当ファンドには同国への投資リスクが伴います。,NYSE Arca,0.66%,https://www.vaneck.com/us/en/investments/brazil-small-cap-etf-brf-fact-sheet.pdf,ヴァン・エック・グローバル,〇
BRZU,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BRZU,Direxion デイリー MSCI ブラジル ブル2倍 ETF,MSCI ブラジル 25/50 指数の200%のパフォーマンスに連動した成果を目指す。,NYSE Arca,1.26%,https://www.direxion.com/uploads/BRZU-Fact-Sheet.pdf,Direxion Investments,
BSV,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BSV,バンガード・米国短期債券ETF,残存期間が1〜5年の米国債、政府機関債、投資適格(ムーディーズによる格付がBaa3以上)の社債および米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(1-5年)インデックスに連動したパフォーマンスを目指します。,NYSE Arca,0.04%,https://institutional.vanguard.com/iippdf/pdfs/FS924R.pdf,バンガード グループ,
BUG,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BUG,グローバルX　サイバーセキュリティ　ETF,"Indxx・サイバーセキュリティ・インデックス（ Indxx　Cybersecurity
Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す",NASDAQ,0.51%,https://www.globalxetfs.com/content/files/BUG-factsheet.pdf,グローバルエックス・マネジメント,〇
BWX,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=BWX,SPDRブルームバーグ 世界国債（除く米国）ETF,ブルームバーグ・バークレイズ・グローバル国債（除く米国）キャップド指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。,NYSE Arca,0.35%,https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-bwx.pdf,SSGA ファンズ・マネジメント・インク,
CHAU,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CHAU,Direxion デイリー CSI 300 中国A株 ブル2倍 ETF,CSI 300 指数の200%のパフォーマンスに連動した成果を目指す。,NYSE Arca,1.05%,https://www.direxion.com/uploads/CHAU-Fact-Sheet.pdf,Direxion Investments,
CIBR,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CIBR,FT ナスダック サイバーセキュリティ ETF,米国上場サイバーセキュリティ関連銘柄に投資します。,NASDAQ,0.59%,https://www.firsttrust-teneo.jp/PDF/qreports/CIBR_Factsheet.pdf,ファーストトラスト,〇
CLOU,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CLOU,グローバルX クラウド・コンピューティング ETF,「Indxx・グローバル・クラウド・コンピューティング・インデックス」の価格およびイールドのパフォーマンス(手数料および費用控除前)に連動する投資成果を提供することを目指す。,NASDAQ,0.68%,https://www.globalxetfs.com/content/files/CLOU-factsheet.pdf,グローバルエックス・マネジメント,〇
CLIP,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CLIP,グローバルＸ 米国T-Bill 1-3カ月 ETF,残存期間が1ヶ月以上3ヶ月未満の米国政府発行の短期米国債に投資します。,NYSE Arca,0.07%,https://www.globalxetfs.com/content/files/CLIP-factsheet.pdf,グローバルエックス・マネジメント,
CNRG,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CNRG,SPDR S&P Kensho クリーン　パワー　ETF,人工知能と定量的ウェイト付けメソドロジーを活用し、クリーン・エネルギー・セクターのイノベーション推進に寄与する商品やサービスを提供している企業（太陽光、風力、地熱、水力発電などの分野を含む）を捉える指数との連動を目指します。,NYSE Arca,0.45%,https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-cnrg.pdf,ステート・ストリート・グローバル・アドバイザーズ,〇
CNXT,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CNXT,ヴァンエック ベクトル 中国AMC中小企業・創業板ETF,中国中小企業・創業板100指数に連動した成果を目指す。,NYSE Arca,0.65%,https://search.sbisec.co.jp/v3/ex/etf_CNXT_150616.pdf,ヴァン・エック・グローバル,〇
COM,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=COM,Direxion オースピス ブロード コモディティ戦略ETF,オースピス・ブロード・コモディティ・インデックスに連動する投資成果を追求する。同指数は商品先物契約のポートフォリオを追跡することによって商品市場における上昇トレンドを捉えながら下落トレンド中のリスクを最小化することを目指すルール・ベースの指数である。大豆、トウモロコシ、小麦、綿花、砂糖、原油、天然ガス、ガソリン、ヒーティングオイル、銅、金及び銀などに分散投資する。,NYSE Arca,0.81%,https://www.direxion.com/uploads/COM-Fact-Sheet.pdf,Direxion Investments,
COPX,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=COPX,GLX コッパー マイナーズ ETF,ソラクティブ・グローバル・コッパー・マイナーズ・インデックスの価格と利回りに概ね連動する投資成果を目指す。,NYSE Arca,0.65%,https://globalxetfs.co.jp/content/files/COPX-factsheet_J.pdf,グローバルエックス・マネジメント,〇
CTEC,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CTEC,グローバルX クリーンテック ETF,Indxx グローバル・クリーンテック・インデックスのパフォーマンスに連動した成果を目指す。,NASDAQ,0.50%,https://globalxetfs.co.jp/content/files/CTEC-factsheet_J.pdf,グローバルエックス・マネジメント,〇
CURE,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CURE,Direxion デイリー ヘルスケア株 ブル3倍 ETF,The S&P（R）ヘルスケア セレクト セクター インデックスの日々のパフォーマンス（手数料・費用控除前）の300％の投資成果を目指し運用する。,NYSE Arca,0.97%,https://www.direxion.com/uploads/CURE-Fact-Sheet.pdf,Direxion Investments,
CWB,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CWB,SPDR ブルームバーグ コンバーチブル債券 ETF,ブルームバーグ・バークレイズ・米国コンバーチブル・ボンド>$500MM 指数に連動した成果を目指す。,NYSE Arca,0.40%,https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-cwb.pdf,SSGA ファンズ・マネジメント・インク,
CWEB,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CWEB,Direxion デイリー CSI中国インターネット指数株 ブル 2倍 ETF,CSIオーバーシーズ・チャイナ・インターネット指数の日々のパフォーマンス（手数料・費用控除前）の200％の投資成果を目指し運用する。,NYSE Arca,1.32%,http://search.sbisec.co.jp/v3/ex/etf_CHAU_160510.pdf,Direxion Investments,
CWI,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CWI,SPDR MSCI 全世界株式（除く米国）ETF,MSCI オール・カントリー・ワールド（除く米国）指数のトータルリターンに、経費控除前で、連動する投資成果を上げることを目標とします。,NYSE Arca,0.30%,https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-cwi.pdf,SSGA ファンズ・マネジメント・インク,〇
CXSE,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=CXSE,ウィズダムツリー 中国株ニューエコノミーファンド,"ウィズダムツリー中国株ニューエコノミーファンド(WisdomTree China ex-State-Owned Enterprises
Fund)は、国有企業を除く中国企業へ投資することを目的とし、ウィズダムツリー・チャイナ・エックスステートオウンド・エンタープライズ・インデックス(WisdomTree China
ex-State-Owned Enterprises Index)の価格及び利回りのパフォーマンス(手数料及び経費控除前)に連動する投資成果を追及する。bca",NASDAQ,0.32%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-cxse-1061.pdf,ウィズダムツリー・アセット・マネジメント,〇
DEM,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DEM,ウィズダムツリー 新興国株　高配当ファンド,ウィズダムツリー エマージング マーケッツ インデックスに連動した成果を目指す。,NYSE Arca,0.63%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dem-1070.pdf,ウィズダムツリー・アセット・マネジメント,〇
DES,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DES,ウィズダムツリー 米国小型株配当ファンド,配当支払いを行う時価総額の小さい企業の投資成果への連動を目指す。,NYSE Arca,0.38%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-factsheet-des-1008.pdf,ウィズダムツリー・アセット・マネジメント,
DEW,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DEW,ウィズダムツリー 世界株 高配当ファンド,ウィズダムツリー グローバル エクイティ インカム インデックスに連動した成果を目指す。,NYSE Arca,0.58%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dew-1039.pdf,ウィズダムツリー・アセット・マネジメント,〇
DFE,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DFE,ウィズダムツリー 欧州小型株配当ファンド,ウィズダムツリー ヨーロッパ スモールキャップ ディビデンド インデックスに連動した成果を目指す。,NYSE Arca,0.58%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dfe-1046.pdf,ウィズダムツリー・アセット・マネジメント,〇
DFEN,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DFEN,Direxion デイリー エアロスペース・アンド・ディフェンス ブル3倍 ETF,ダウ・ジョーンズ米国セレクト・エアロスペース・アンド・ディフェンス指数の300%パフォーマンスに連動した成果を目指す。,NYSE Arca,0.96%,https://www.direxion.com/uploads/DFEN-Fact-Sheet.pdf,Direxion Investments,
DFJ,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DFJ,ウィズダムツリー日本小型株配当ファンド,ウィズダムツリー ジャパン スモールキャップ ディビデンド インデックスに連動した成果を目指す。,NYSE Arca,0.58%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dfj-1043.pdf,ウィズダムツリー・アセット・マネジメント,〇
DGRE,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DGRE,ウィズダムツリー 新興国株クオリティ配当成長ファンド,新興国市場にて配当支払を行う成長性のある企業の投資成果への連動を目指す。,NASDAQ,0.32%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dgre-1489.pdf,ウィズダムツリー・アセット・マネジメント,〇
DGRS,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DGRS,ウィズダムツリー 米国小型株クオリティ配当成長ファンド,米国市場にて配当支払を行う成長性のある時価総額の小さい企業の投資成果への連動を目指す。,NASDAQ,0.38%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-factsheet-dgrs-1488.pdf,ウィズダムツリー・アセット・マネジメント,
DGRW,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DGRW,ウィズダムツリー 米国株クオリティ配当成長ファンド,配当支払を行う米国市場にて成長性のある、時価総額の大きい企業の投資成果への連動を目指す。,NASDAQ,0.28%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-dgrw_factsheet-1910.pdf,ウィズダムツリー・アセット・マネジメント,
DGS,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=DGS,ウィズダムツリー 新興国小型株配当型ファンド,新興国市場にて、配当支払を行う時価総額の小さい企業への投資成果への連動を目指す,NYSE Arca,0.58%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dgs-1068.pdf,ウィズダムツリー・アセット・マネジメント,〇
